"genus","taxon","year"
"Astragalus","Astragalus austrotadzhikistanicus",1981
"Astragalus","Astragalus dolonus",1981
"Astragalus","Astragalus kuramensis",1981
"Astragalus","Astragalus remanens",1981
"Astragalus","Astragalus transnominatus",1981
"Crotalaria","Crotalaria afrocentralis",1982
"Crotalaria","Crotalaria polychroma",1982
"Crotalaria","Crotalaria recumbens",1982
"Crotalaria","Crotalaria subtilis",1982
"Oxytropis","Oxytropis nikolai",1982
"Crotalaria","Crotalaria hebecarpa",1983
"Indigofera","Indigofera deccanensis",1983
"Acacia","Acacia conniana",1985
"Astragalus","Astragalus piutensis",1985
"Astragalus","Astragalus atrifructus",1986
"Astragalus","Astragalus nitidissimus",1986
"Astragalus","Astragalus pleianthus",1986
"Acacia","Acacia desmondii",1987
"Astragalus","Astragalus gorczakovskii",1987
"Indigofera","Indigofera helmsii",1987
"Astragalus","Astragalus bilobatoalatus",1988
"Astragalus","Astragalus dengkouensis",1989
"Acacia","Acacia adenogonia",1990
"Acacia","Acacia armillata",1990
"Acacia","Acacia lanuginophylla",1990
"Acacia","Acacia meiosperma",1990
"Acacia","Acacia ommatosperma",1990
"Acacia","Acacia polyadenia",1990
"Acacia","Acacia racospermoides",1990
"Astragalus","Astragalus dutreuilii",1990
"Mimosa","Mimosa centurionis",1991
"Mimosa","Mimosa chaetosphaera",1991
"Mimosa","Mimosa longiracemosa",1991
"Mimosa","Mimosa pseudolepidota",1991
"Astragalus","Astragalus altaicola",1993
"Astragalus","Astragalus floridulus",1993
"Astragalus","Astragalus clusianus",1994
"Indigofera","Indigofera peltieri",1994
"Mimosa","Mimosa hystricina",1994
"Mimosa","Mimosa hystricina",1994
"Mimosa","Mimosa occidentalis",1994
"Mimosa","Mimosa subinermis",1994
"Astragalus","Astragalus ulziykhutagii",1996
"Oxytropis","Oxytropis jabalambrensis",1996
"Crotalaria","Crotalaria eichleri",1997
"Crotalaria","Crotalaria tanety",1997
"Astragalus","Astragalus allectus",1998
"Astragalus","Astragalus ampullarioides",1998
"Astragalus","Astragalus cellatus",1998
"Astragalus","Astragalus cutleri",1998
"Astragalus","Astragalus delutulus",1998
"Astragalus","Astragalus geminus",1998
"Crotalaria","Crotalaria socotrana",1998
"Indigofera","Indigofera longistaminata",1998
"Acacia","Acacia amputata",1999
"Acacia","Acacia pachyphylla",1999
"Acacia","Acacia tingoorensis",1999
"Astragalus","Astragalus andreji-sytinii",1999
"Astragalus","Astragalus belangeri",1999
"Astragalus","Astragalus kirilovii",1999
"Astragalus","Astragalus peltopsis",1999
"Mimosa","Mimosa candollei",2000
"Mimosa","Mimosa robusta",2000
"Oxytropis","Oxytropis ochrolongibracteata",2000
"Astragalus","Astragalus keredjensis",2001
"Astragalus","Astragalus maowensis",2001
"Astragalus","Astragalus obtusifoliolus",2001
"Astragalus","Astragalus pseudotauricola",2001
"Indigofera","Indigofera arnottii",2001
"Indigofera","Indigofera dalzelliana",2001
"Indigofera","Indigofera ultima",2001
"Acacia","Acacia peregrinalis",2002
"Astragalus","Astragalus chamonobrychis",2002
"Mimosa","Mimosa lingvatouana",2002
"Astragalus","Astragalus dolinicola",2003
"Astragalus","Astragalus neplii",2003
"Astragalus","Astragalus chaidamuensis",2004
"Astragalus","Astragalus lang-ranii",2004
"Astragalus","Astragalus macrostephanus",2004
"Astragalus","Astragalus novissimus",2004
"Astragalus","Astragalus purpurinus",2004
"Astragalus","Astragalus varus",2004
"Astragalus","Astragalus xitaibaicus",2004
"Astragalus","Astragalus diminutivus",2005
"Astragalus","Astragalus neochaldoranicus",2005
"Indigofera","Indigofera scabrella",2005
"Acacia","Acacia calligera",2006
"Acacia","Acacia microcybe",2006
"Acacia","Acacia serpentinicola",2006
"Astragalus","Astragalus dolinicola",2006
"Oxytropis","Oxytropis zemuensis",2006
"Acacia","Acacia uncifolia",2007
"Astragalus","Astragalus yanerwoensis",2007
"Acacia","Acacia effusifolia",2008
"Acacia","Acacia latior",2008
"Astragalus","Astragalus blandulus",2008
"Astragalus","Astragalus yushensis",2009
"Indigofera","Indigofera dionaeifolia",2009
"Indigofera","Indigofera interrupta",2009
"Indigofera","Indigofera longidentata",2009
"Indigofera","Indigofera mahafalensis",2009
"Indigofera","Indigofera pseudocompressa",2009
"Astragalus","Astragalus neoassadabadensis",2010
"Crotalaria","Crotalaria chaco-serranensis",2010
"Indigofera","Indigofera franchetii",2010
"Indigofera","Indigofera vigueri",2010
"Crotalaria","Crotalaria magaliesbergensis",2011
"Oxytropis","Oxytropis korabensis",2011
"Astragalus","Astragalus valdeviolaceus",2012
"Indigofera","Indigofera kavangoensis",2012
"Indigofera","Indigofera pseudodyeri",2012
"Astragalus","Astragalus boreoafricanus",2013
"Astragalus","Astragalus khassanovii",2013
"Astragalus","Astragalus microphysopsis",2013
"Astragalus","Astragalus neoassadabadensis",2013
"Astragalus","Astragalus yazdii",2013
"Acacia","Acacia adjutrices",2014
"Acacia","Acacia exigua",2014
"Acacia","Acacia minniritchi",2014
"Acacia","Acacia neobrachycarpa",2014
"Acacia","Acacia neorigida",2014
"Astragalus","Astragalus naghadehensis",2014
"Astragalus","Astragalus pseudomurinus",2014
"Oxytropis","Oxytropis knjazevii",2014
"Astragalus","Astragalus brulloi",2015
"Astragalus","Astragalus dieteri",2015
"Astragalus","Astragalus latusioides",2015
"Astragalus","Astragalus podlechii",2015
"Lupinus","Lupinus oscarii",2015
"Mimosa","Mimosa caccavariana",2015
"Astragalus","Astragalus packardiae",2017
"Indigofera","Indigofera microcarpa",2017
"Mimosa","Mimosa floridana",2017
"Mimosa","Mimosa granitica",2017
"Mimosa","Mimosa neonitens",2017
"Mimosa","Mimosa rupigena",2017
"Mimosa","Mimosa urbica",2017
"Indigofera","Indigofera edwardi",2018
"Indigofera","Indigofera mariosousae",2018
"Indigofera","Indigofera priorii",2018
"Mimosa","Mimosa monclovensis",2018
"Astragalus","Astragalus tergeminus",2019
"Astragalus","Astragalus harshbergeri",2020
"Acacia","Acacia euthycarpa",NA
"Astragalus","Astragalus neglectus",NA
