num,id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,collection day 1,collection month 1,collection year 1,collection day 2,collection month 2,collection year 2,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
1,urn:lsid:ipni.org:names:499427-1,,Baker f.,Indigofera gyrocarpa,Leguminosae,,Indigofera,,gyrocarpa,,false,false,spec.,J. Bot. 73: 78. 1935,1935,Baker f.,urn:lsid:ipni.org:publications:678-2,Baker f.@404-1@1@aut,,Tanganyika Terr,,J. Bot.,,,unknown,73: 78,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499428-1,,Tsai & Yu,Indigofera hainanensis,Leguminosae,,Indigofera,,hainanensis,,false,false,spec.,Bull. Fan Mem. Inst. Biol. Bot. 7: 30. 1936,1936,Tsai & Yu,urn:lsid:ipni.org:publications:8560-2,"Yu@0-0@2@aut, Tsai@0-0@1@aut",,China (Hainan),,Bull. Fan Mem. Inst. Biol. Bot.,,,unknown,7:30,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499429-1,,Desv.,Indigofera haitensis,Leguminosae,,Indigofera,,haitensis,,false,false,spec.,Ann. Sci. Nat. (Paris) 9: 410. 1826,1826,Desv.,urn:lsid:ipni.org:publications:842-2,Desv.@17974-1@1@aut,,Ins. S. Doming,,Ann. Sci. Nat. (Paris),,,unknown,0.659722222,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499431-1,,Schltr.,Indigofera hamulosa,Leguminosae,,Indigofera,,hamulosa,,false,false,spec.,Bot. Jahrb. Syst. 24(3): 443. 1897 [7 Dec 1897],1897,Schltr.,urn:lsid:ipni.org:publications:553-2,Schltr.@9117-1@1@aut,,Afr. austr,208448,Bot. Jahrb. Syst.,,,unknown,24(3): 443,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897 [7 Dec 1897],[7 Dec 1897],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499432-1,,Craib,Indigofera hancockii,Leguminosae,,Indigofera,,hancockii,,false,false,spec.,Notes Roy. Bot. Gard. Edinburgh 8: 53. 1913,1913,Craib,urn:lsid:ipni.org:publications:758-2,Craib@1857-1@1@aut,,China (Yunnan),,Notes Roy. Bot. Gard. Edinburgh,,,unknown,8:53,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499433-1,,Diels,Indigofera hantamensis,Leguminosae,,Indigofera,,hantamensis,,false,false,spec.,Bot. Jahrb. Syst. 44(1): 120. 1909 [23 Nov 1909],1909,Diels,urn:lsid:ipni.org:publications:553-2,Diels@18030-1@1@aut,,Afr. austr,216042,Bot. Jahrb. Syst.,,,unknown,44(1): 120,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909 [23 Nov 1909],[23 Nov 1909],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499434-1,,F.Muell.,Indigofera haplophylla,Leguminosae,,Indigofera,,haplophylla,,false,false,spec.,Fragm. (Mueller) 3(21): 102. 1862 [Oct 1862],1862,F.Muell.,urn:lsid:ipni.org:publications:654-2,F.Muell.@6732-1@1@aut,,Austral,,Fragm. (Mueller),,,unknown,3(21): 102,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862 [Oct 1862],[Oct 1862],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499436-1,,Benth. ex Baker,Indigofera hebepetala,Leguminosae,,Indigofera,,hebepetala,,false,false,spec.,Fl. Brit. India [J. D. Hooker] 2(4): 101. 1876 [May 1876],1876,Benth. ex Baker,urn:lsid:ipni.org:publications:922-2,"Benth.@15956-1@1@aut, Baker@407-1@2@autEx",,Reg. Himal,357319,Fl. Brit. India [J. D. Hooker],,,unknown,2(4): 101,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876 [May 1876],[May 1876],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499437-1,,Eckl. & Zeyh.,Indigofera hedranophylla,Leguminosae,,Indigofera,,hedranophylla,,false,false,spec.,Enum. Pl. Afric. Austral. [Ecklon & Zeyher] 2: 232. 1836 [Jan 1836],1836,Eckl. & Zeyh.,urn:lsid:ipni.org:publications:908-2,"Zeyh.@13042-1@2@aut, Eckl.@2457-1@1@aut",,Afr. austr,,Enum. Pl. Afric. Austral. [Ecklon & Zeyher],,,unknown,0.244444444,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836 [Jan 1836],[Jan 1836],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499438-1,,Eckl. & Zeyh.,Indigofera hedyantha,Leguminosae,,Indigofera,,hedyantha,,false,false,spec.,Enum. Pl. Afric. Austral. [Ecklon & Zeyher] 2: 243. 1836 [Jan 1836],1836,Eckl. & Zeyh.,urn:lsid:ipni.org:publications:908-2,"Zeyh.@13042-1@2@aut, Eckl.@2457-1@1@aut",,Afr. austr,,Enum. Pl. Afric. Austral. [Ecklon & Zeyher],,,unknown,0.252083333,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836 [Jan 1836],[Jan 1836],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499439-1,,Lam.,Indigofera hedysaroides,Leguminosae,,Indigofera,,hedysaroides,,false,false,spec.,Encycl. [J. Lamarck & al.] 3(1): 250. 1789 [19 Oct 1789],1789,Lam.,urn:lsid:ipni.org:publications:906-2,Lam.@5227-1@1@aut,,#NOME?,,Encycl. [J. Lamarck & al.],,,unknown,3(1): 250,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789 [19 Oct 1789],[19 Oct 1789],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499441-1,,Craib,Indigofera henryi,Leguminosae,,Indigofera,,henryi,,false,false,spec.,Notes Roy. Bot. Gard. Edinburgh 8: 54. 1913,1913,Craib,urn:lsid:ipni.org:publications:758-2,Craib@1857-1@1@aut,,China (Yunnan),,Notes Roy. Bot. Gard. Edinburgh,,,unknown,8:54,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499443-1,,J.B.Gillett,Indigofera hermannioides,Leguminosae,,Indigofera,,hermannioides,,false,false,spec.,"Kew Bull., Addit. Ser. 1: 75. 1958",1958,J.B.Gillett,urn:lsid:ipni.org:publications:2447-2,J.B.Gillett@3153-1@1@aut,,Tanganyika Terr,,"Kew Bull., Addit. Ser.",,,unknown,0.09375,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499446-1,,Welw. ex Baker,Indigofera heterocarpa,Leguminosae,,Indigofera,,heterocarpa,,false,false,spec.,Fl. Trop. Afr. [Oliver et al.] 2: 90. 1871,1871,Welw. ex Baker,urn:lsid:ipni.org:publications:951-2,"Welw.@11540-1@1@aut, Baker@407-1@2@autEx",,Afr. trop,,Fl. Trop. Afr. [Oliver et al.],,,unknown,0.145833333,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499447-1,,C.Presl,Indigofera heterophylla,Leguminosae,,Indigofera,,heterophylla,,false,false,spec.,"Abh. K├╢nigl. B├╢hm. Ges. Wiss. ser. 5, 3: 485. 1845 [Jul-Dec 1845] ; Bot. Bemerk. (C. Presl): 55. [Jan-Apr 1846]",1845,C.Presl,urn:lsid:ipni.org:publications:5571-2,C.Presl@25074-1@1@aut,,Mexic,,Abh. K├╢nigl. B├╢hm. Ges. Wiss.,,,unknown,"ser. 5, 3: 485",,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845 [Jul-Dec 1845],[Jul-Dec 1845],,; Bot. Bemerk. (C. Presl): 55. [Jan-Apr 1846],,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499448-1,,Thunb.,Indigofera heterophylla,Leguminosae,,Indigofera,,heterophylla,,false,false,spec.,Prodr. Pl. Cap. 2: 133. 1800,1800,Thunb.,urn:lsid:ipni.org:publications:1049-2,Thunb.@10646-1@1@aut,,Afr. austr,,Prodr. Pl. Cap.,,,unknown,0.175694444,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499449-1,,Roxb. ex Wight & Arn.,Indigofera heterophylla,Leguminosae,,Indigofera,,heterophylla,,false,false,spec.,"Prodr. Fl. Ind. Orient. 1: 200, 201. 1834 [10 Oct 1834]",1834,Roxb. ex Wight & Arn.,urn:lsid:ipni.org:publications:3799-2,"Arn.@281-1@3@autEx, Roxb.@8682-1@1@aut, Wight@11658-1@2@autEx",,#NOME?,,Prodr. Fl. Ind. Orient.,,,unknown,"1: 200, 201",,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834 [10 Oct 1834],[10 Oct 1834],,,,,,,,,,false,true,,,,
1,urn:lsid:ipni.org:names:499450-1,,DC.,Indigofera heterotricha,Leguminosae,,Indigofera,,heterotricha,,false,false,spec.,Prodr. [A. P. de Candolle] 2: 227. 1825 [mid Nov 1825],1825,DC.,urn:lsid:ipni.org:publications:1051-2,DC.@16855-1@1@aut,,Afr. austr,153533,Prodr. [A. P. de Candolle],,,unknown,0.240972222,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825 [mid Nov 1825],[mid Nov 1825],,,,,,,,,,false,true,,,,
